Object_Id  Timestamp Type Lat Lng 
71 17 point 21.4820295188122 39.9354009103149
70 17 point 21.3439770485412 39.7917721945031
67 17 point 21.4379102682658 39.7665608745278
66 17 point 21.3348629464878 39.7876275524318
65 17 point 21.431845892298 39.8084213278761
79 17 point 21.4818009360367 39.9276065048432
63 17 point 21.3725634208476 39.9390973414515
62 17 point 21.4277930900815 39.9015880476809
61 17 point 21.6482620646633 39.7114884720511
60 17 point 21.3767449825442 39.8336787900957
59 17 point 21.4361434862307 39.6344163633201
58 17 point 21.3956800707656 39.7989944886093
57 17 point 21.4085727943176 39.8700418610255
56 17 point 21.4586184575953 39.8829532994596
55 17 point 21.4415900372063 39.9010333383354
54 17 point 21.4090987161218 39.8681240079814
53 17 point 21.4407876641826 39.7634370306373
52 17 point 21.3868809569129 39.8609485606732
51 17 point 21.2666161379623 39.9356499360219
50 17 point 21.3644084320152 39.9735055707863
47 17 point 21.3884178338575 39.839419251995
69 17 point 21.6246302019024 39.6767420889046
45 17 point 21.4547801658634 39.8749804874281
43 17 point 21.4246138826219 39.7883216964305
42 17 point 21.4826626504759 39.9345621543725
78 17 point 21.553687994092 39.7789388024819
74 17 point 21.4209340104564 39.8572520172232
39 17 point 21.4720086569345 39.7800273905405
38 17 point 21.5113700254062 39.9603030796544
37 17 point 21.5505424324955 39.9470531749368
36 17 point 21.4586450306075 39.8826268965287
35 17 point 21.3495263418914 39.7792810994304
31 17 point 21.445376214449 39.8999793010401
30 17 point 21.424753969904 39.8714178682238
49 17 point 21.4147121695581 39.8565683332064
34 17 point 21.4928414555996 39.9991400781812
48 17 point 21.5076431920073 39.7921399872637
26 17 point 21.5217570167162 39.7901100219078
25 17 point 21.4980213443301 39.7930151003004
24 17 point 21.4520617019079 39.8668020583712
23 17 point 21.4387705623028 39.8511842746592
22 17 point 21.3425870083568 39.789361736065
21 17 point 21.4689150863071 39.7987651135582
20 17 point 21.3615856938296 39.7944945493031
18 17 disappearpoint 21.340399 39.995201
17 17 point 21.4218994180401 39.8749825891993
16 17 point 21.4407086843843 39.9018089739521
15 17 point 21.3709829991309 39.8834294001611
14 17 point 21.4342700885114 39.819010486167
13 17 point 21.5126516972026 39.791661402444
12 17 point 21.4389133870374 39.8505385459296
11 17 point 21.3599520306948 39.9071899393263
44 17 point 21.4441101566546 39.9009820004645
19 17 point 21.3968024374044 39.8886386722993
8 17 point 21.3765752060707 39.8779568698501
